Department,Department_Name,Division,Gender,Base Salary,Overtime Pay,Longevity Pay,Grade
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,M,148249.82,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,F,113091,,3205.12,25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,F,113091,,3370.56,25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,148604,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,107254,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Strategy and Planning,F,97984.54,,,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Strategy and Planning,F,171457.98,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Project Management Staff,F,130167,,1302.08,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Project Management Staff,M,125942.94,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Project Management Staff,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Project Management,F,165000,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO One Face Forward Initiative,M,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO One Face Forward Initiative,M,171522.33,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Integrated Justice Information Systems,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Integrated Justice Information Systems,F,186490,,,N40
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Infrastructure and Cloud Services,F,130167,,2588.8,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Infrastructure and Cloud Services,M,163551,,,N34
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Infrastructure and Cloud Services,M,143183.37,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,136615.43,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,80086,,1594.6,18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,87071.74,1109.44,4148.16,N21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,113091,,2247.68,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Finance and Human Resources,F,74614,,2216.16,16
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,148591.51,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,F,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,154469,,,N32
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,109000,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,89060.57,,,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Device Client Management,F,147924.2,,,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Device Client Management,M,130167,,,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Device Client Management,F,130167,,2368.45,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Device Client Management,M,103034,,6228.32,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Data Classification and Digital Evidence,M,191707.69,,,M1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Chief Information Officer,F,227000,,,EX1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Change Management,F,171540,,,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Change Management,F,142665,,,M3
SHF,Sheriff's Office,SHF 48 Warrant Section,M,65234,2966.15,,G3
SHF,Sheriff's Office,SHF 48 Warrant Section,M,65234,962.43,,G3
SHF,Sheriff's Office,SHF 48 Warrant Section,M,69683,2110.5,,G4
SHF,Sheriff's Office,SHF 48 Warrant Section,M,63082,3653.9,,G3
SHF,Sheriff's Office,SHF 48 Warrant Section,M,63082,1928.22,,G3
SHF,Sheriff's Office,SHF 48 Warrant Section,M,57125,3160.41,,G2
SHF,Sheriff's Office,SHF 48 Warrant Section,M,63082,1767.04,,G3
SHF,Sheriff's Office,SHF 48 Warrant Section,F,53439,3169.74,,G2
SHF,Sheriff's Office,SHF 48 Warrant Section,M,116075,44.41,1087.12,D2
SHF,Sheriff's Office,SHF 48 Warrant Section,M,107198,18027.6,3725.44,D1
SHF,Sheriff's Office,SHF 48 Warrant Section,M,107198,7189.91,,D1
SHF,Sheriff's Office,SHF 48 Warrant Section,M,117759,903.63,5150.12,D2
SHF,Sheriff's Office,SHF 48 Warrant Section,M,82446,2116.62,,G4
SHF,Sheriff's Office,SHF 48 Warrant Section,M,77075,1534.02,,G4
SHF,Sheriff's Office,SHF 48 Warrant Section,F,48372.85,,,13
SHF,Sheriff's Office,SHF 48 Warrant Section,M,107198,738.14,4294.85,D1
SHF,Sheriff's Office,SHF 48 Warrant Section,F,65109,,3919.52,13
SHF,Sheriff's Office,SHF 48 Warrant Section,M,103630,989.67,,D1
SHF,Sheriff's Office,SHF 48 Warrant Section,M,63082,4033.68,,G3
SHF,Sheriff's Office,SHF 48 Warrant Section,M,65234,1689.5,,G3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,30585,,,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,103630,10101.09,,D1
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,74614,3966.96,,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,69683,1624.99,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,69683,3961.46,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,65234,4389.87,,G3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,60719.07,,,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,61008,979.62,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,29560.46,192.61,,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,61008,4381.79,,G3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,55252,2182.15,,G2
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,62844.23,,,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,57125,3253.39,,G2
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,57125,3253.39,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,63082,4067.04,,G3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,63082,1520.42,,G3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,46105,186.2,,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,27668.16,133.02,,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,54930,,,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,107198,2840.81,,D1
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,89653,1021.64,2667.52,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,74614,6412.2,2137.06,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,76853.15,739.16,,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,74527,6026.81,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,120054.89,,,M3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,82446,1241.56,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,58259.7,4635.71,,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,69429.54,,,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,79533.27,916.66,,N23
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,60719.07,,,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,74527,1493.61,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,74527,5024.95,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,72062,1117.17,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,72062,2737.75,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,69683,4576.66,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,141871,,8589.14,D3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,91232,9263.56,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,68852.82,6953.21,,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,107198,5060.01,1443.2,D1
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,107198,,,D1
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,117759,909.65,,D2
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,74614,4195.59,2216.16,16
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,117759,1830.75,7121.44,D2
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,72062,579.89,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,64982.76,,,20
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,72062,2798.39,,G4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,75423.35,1156.58,,23
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,54443.15,223.73,,16
SHF,Sheriff's Office,SHF 48 Evictions,M,63082,21.43,,G3
SHF,Sheriff's Office,SHF 48 Evictions,M,97606,33.04,,G4
SHF,Sheriff's Office,SHF 48 Evictions,M,97606,298.71,5894.5,G4
SHF,Sheriff's Office,SHF 48 Evictions,F,65109,,3919.52,13
SHF,Sheriff's Office,SHF 48 Evictions,M,107198,6488.93,,D1
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,69683,967.09,,G4
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,97606,19118.19,,G4
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,63082,5525.26,,G3
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,82446,15062.88,,G4
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,77075,14914.65,,G4
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,117759,912.96,,D2
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,107198,22116.96,,D1
SHF,Sheriff's Office,SHF 48 Courthouse Security,F,91232,12055.3,,G4
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,97606,3222.84,,G4
SHF,Sheriff's Office,SHF 48 Courthouse Security,F,107198,15576.22,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,65234,2260.98,,G3
SHF,Sheriff's Office,SHF 48 Court and Transport,M,87518,526.03,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,F,65234,364.34,,G3
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,2116.27,2664.52,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,F,91232,,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,107198,853.37,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,65234,5900.54,,G3
SHF,Sheriff's Office,SHF 48 Court and Transport,M,53439,242.41,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,53439,1500.18,,G2
SHF,Sheriff's Office,SHF 48 Court and Transport,F,55252,5938.56,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,F,55252,7725.94,,G2
SHF,Sheriff's Office,SHF 48 Court and Transport,M,53439,440.14,,G2
SHF,Sheriff's Office,SHF 48 Court and Transport,F,53439,947.38,,G2
SHF,Sheriff's Office,SHF 48 Court and Transport,M,53439,845.57,,G2
SHF,Sheriff's Office,SHF 48 Court and Transport,M,53439,1403.25,,G2
SHF,Sheriff's Office,SHF 48 Court and Transport,M,117759,87.9,1902.72,D2
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,,3390.56,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,107198,1210.81,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,F,134068.63,,4271.04,D3
SHF,Sheriff's Office,SHF 48 Court and Transport,F,107198,6086.56,1443.2,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,107198,7256.36,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,94363,7635.9,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,7119.62,3390.56,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,12176.58,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,554.18,5380.31,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,F,97606,1061.23,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,107198,14925.06,6478.46,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,90522,1559.03,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,82446,919.29,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,93632,118.52,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,82446,974.41,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,79716,855.99,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,79716,1296.94,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,72062,8745.24,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,82446,5935.59,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,82446,8180.39,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,72062,1033.93,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,74527,22199.33,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,74527,7675.63,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,103630,74.83,,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,F,91232,882.6,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,95922,,1446.08,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,F,94363,409.36,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,107198,9417.75,3493.6,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,F,79716,220.26,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,117759,2215.71,7121.44,D2
SHF,Sheriff's Office,SHF 48 Court and Transport,M,107198,10320.16,3725.44,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,91232,,,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,12286.37,5894.5,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,133834.68,,3072.29,D3
SHF,Sheriff's Office,SHF 48 Court and Transport,F,97606,365.36,3390.56,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,107198,9461.4,4578.8,D1
SHF,Sheriff's Office,SHF 48 Court and Transport,F,97606,2574.69,3390.56,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,,1708.72,G4
SHF,Sheriff's Office,SHF 48 Court and Transport,M,117759,9621.12,,D2
SHF,Sheriff's Office,SHF 48 Court and Transport,M,97606,8338.12,5894.5,G4
